fixture_key,match_date,market,player,side,entry_ts,entry_odds,entry_fair_probability,close_ts,close_odds,close_fair_probability,minutes_close_before_kickoff,clv_pct,clv_pct_normalised,clean_clv_pct,clv_quality,clv_source,result
4ab97e5dc4a391e1,,sot,Tatsuhiro Sakamoto,over,2026-08-19T03:48:29.394647+00:00,3.5,0.2857142857142857,,3.0,0.3333333333333333,,0.1667,16.67,16.6667,OK,v9_clv_records,
4ab97e5dc4a391e1,,goals,Ephron Mason-Clark,over,2026-08-19T03:48:29.398435+00:00,9.5,0.10526315789473684,,8.5,0.11764705882352941,,0.1176,11.76,11.7647,OK,v9_clv_records,
4ab97e5dc4a391e1,,sot,Bobby Thomas,over,2026-08-19T03:48:29.402975+00:00,4.8,0.20833333333333334,,7.0,0.14285714285714285,,-0.3143,-31.43,,CLV_IMPLAUSIBLE,v9_clv_records,
4ab97e5dc4a391e1,,sot,Matt Grimes,over,2026-08-19T03:48:29.405876+00:00,7.5,0.13333333333333333,,6.5,0.15384615384615385,,0.1538,15.38,15.3846,OK,v9_clv_records,
2f320f59a0339941,,sot,Igor Paixão,over,2026-08-19T06:42:08.364956+00:00,1.36,0.7352941176470588,,1.36,0.7352941176470588,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
2f320f59a0339941,,sot,Martial Godo,over,2026-08-19T06:42:08.366505+00:00,1.8,0.5555555555555556,,1.8,0.5555555555555556,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
2f320f59a0339941,,sot,Amine Gouiri,over,2026-08-19T06:42:08.367904+00:00,1.3,0.7692307692307692,,1.3,0.7692307692307692,,0.0,0.0,0.0,CLOSE_EQUALS_ENTRY,v9_clv_records,
fbd090b35d5ab77b,,sot,Sofiane Diop,over,2026-08-19T06:42:08.369127+00:00,1.68,0.5952380952380952,,,,,,,,NO_CLOSE,,
2f320f59a0339941,,sot,Samuel Amo-Ameyaw,over,2026-08-19T06:42:08.370233+00:00,2.05,0.48780487804878053,,2.0,0.5,,0.025,2.5,2.5,OK,v9_clv_records,
a8544fb1bffd1f75,,sot,Santiago Hidalgo,over,2026-08-19T06:42:08.371368+00:00,1.52,0.6578947368421053,,,,,,,,NO_CLOSE,,
e0ce14f7650df5f1,,sot,Neal Maupay,over,2026-08-19T06:42:08.372428+00:00,1.27,0.7874015748031495,,,,,,,,NO_CLOSE,,
a8544fb1bffd1f75,2026-08-26,sot,Corentin Tolisso,over,2026-08-19T06:42:08.373460+00:00,1.74,0.5747126436781609,2026-08-23 07:02:38+00:00,1.74,0.5747126436781609,3897.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
131481d2c69202b2,,sot,Danny Namaso,over,2026-08-19T06:42:08.375177+00:00,2.0,0.5,,,,,,,,NO_CLOSE,,
a8544fb1bffd1f75,2026-08-26,sot,Pavel Šulc,over,2026-08-19T06:42:08.376393+00:00,1.74,0.5747126436781609,2026-08-23 07:02:38+00:00,1.74,0.5747126436781609,3897.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
fbd090b35d5ab77b,,sot,Jonathan Clauss,over,2026-08-19T06:42:08.377804+00:00,3.3,0.30303030303030304,,,,,,,,NO_CLOSE,,
fbd090b35d5ab77b,,sot,Panos Katseris,over,2026-08-19T06:42:08.378972+00:00,2.65,0.37735849056603776,,,,,,,,NO_CLOSE,,
da15eb75bc2e9e33,,sot,Jonathan Ikoné,over,2026-08-19T06:42:08.380698+00:00,1.8,0.5555555555555556,,,,,,,,NO_CLOSE,,
fbd090b35d5ab77b,,sot,Morgan Sanson,over,2026-08-19T06:42:08.382079+00:00,2.3,0.4347826086956522,,,,,,,,NO_CLOSE,,
fbd090b35d5ab77b,,sot,Noah Cadiou,over,2026-08-19T06:42:08.383210+00:00,3.1,0.3225806451612903,,,,,,,,NO_CLOSE,,
131481d2c69202b2,,sot,Matthieu Udol,over,2026-08-19T06:42:08.384849+00:00,2.55,0.3921568627450981,,,,,,,,NO_CLOSE,,
fbd090b35d5ab77b,,sot,Arsène Kouassi,over,2026-08-19T06:42:08.386068+00:00,4.0,0.25,,,,,,,,NO_CLOSE,,
131481d2c69202b2,,sot,Kévin Danois,over,2026-08-19T06:42:08.388975+00:00,3.8,0.2631578947368421,,,,,,,,NO_CLOSE,,
a8544fb1bffd1f75,2026-08-26,sot,Tyler Morton,over,2026-08-19T06:42:08.390379+00:00,3.7,0.27027027027027023,2026-08-23 07:02:38+00:00,3.7,0.27027027027027023,3897.4,,,0.0,CLOSE_NOT_PROVEN_PRE_KICKOFF,player_props_last_prekickoff,
fbd090b35d5ab77b,,sot,Youssouf Ndayishimiye,over,2026-08-19T06:42:08.391648+00:00,4.3,0.23255813953488372,,,,,,,,NO_CLOSE,,
