variant,month,target,dataset_id,retrain_id,train_start,train_end,n_train,n_test,target_prevalence,majority_accuracy,accuracy,accuracy_lift,auc,pr_auc,brier,log_loss,ece,baseline_log_loss,baseline_brier,margin_vs_baseline_ll,mean_predicted,mean_actual,model_age_months,gate_decision,interpretable
v9_path,2023-10,over15,82a0364cf3d5,v9_path:2023-10,2019-02-22,2023-09-30,23755,1408,0.7614,0.7614,0.7599,-0.142,0.6011,0.8237,0.17758,0.53788,0.0113,0.54983,0.18178,0.01194,0.7581,0.7614,0,PROMOTE,True
v9_path,2023-10,over25,82a0364cf3d5,v9_path:2023-10,2019-02-22,2023-09-30,23755,1408,0.5085,0.5085,0.576,6.747,0.6141,0.6189,0.23969,0.67196,0.02655,0.68863,0.24771,0.01667,0.5288,0.5085,0,PROMOTE,True
v9_path,2023-10,over35,82a0364cf3d5,v9_path:2023-10,2019-02-22,2023-09-30,23755,1408,0.3033,0.6967,0.7003,0.355,0.6118,0.4021,0.20402,0.59601,0.01203,0.61512,0.21174,0.01911,0.2922,0.3033,0,PROMOTE,True
v9_path,2023-11,btts,c92f17152f83,v9_path:2023-11,2019-02-22,2023-10-31,25163,1061,0.5391,0.5391,0.5476,0.848,0.5606,0.6033,0.24406,0.68089,0.02142,0.69367,0.25025,0.01278,0.5329,0.5391,0,PROMOTE,True
v9_path,2023-11,over15,c92f17152f83,v9_path:2023-11,2019-02-22,2023-10-31,25163,1061,0.7672,0.7672,0.7663,-0.094,0.5951,0.8184,0.17487,0.53284,0.0053,0.53721,0.17678,0.00437,0.7692,0.7672,0,PROMOTE,True
v9_path,2023-11,over25,c92f17152f83,v9_path:2023-11,2019-02-22,2023-10-31,25163,1061,0.5269,0.5269,0.5844,5.749,0.6074,0.6044,0.2405,0.67407,0.02066,0.68599,0.24649,0.01192,0.527,0.5269,0,PROMOTE,True
v9_path,2023-11,over35,c92f17152f83,v9_path:2023-11,2019-02-22,2023-10-31,25163,1061,0.3007,0.6993,0.6975,-0.189,0.6052,0.3697,0.20528,0.59809,0.03537,0.60271,0.2067,0.00461,0.3035,0.3007,0,PROMOTE,True
v9_path,2023-12,btts,224c9e62c728,v9_path:2023-12,2019-02-22,2023-11-30,26224,978,0.5266,0.5266,0.5532,2.658,0.574,0.6044,0.24305,0.67848,0.01909,0.69123,0.24903,0.01275,0.5372,0.5266,0,PROMOTE,True
v9_path,2023-12,over15,224c9e62c728,v9_path:2023-12,2019-02-22,2023-11-30,26224,978,0.7505,0.7505,0.7515,0.102,0.6306,0.8247,0.18143,0.54595,0.02682,0.55369,0.18421,0.00774,0.7733,0.7505,0,PROMOTE,True
v9_path,2023-12,over25,224c9e62c728,v9_path:2023-12,2019-02-22,2023-11-30,26224,978,0.5092,0.5092,0.5419,3.272,0.5667,0.5743,0.24663,0.68636,0.03192,0.68556,0.24626,-0.0008,0.5285,0.5092,0,PROMOTE,True
