policy,target,month,adopted,val_champ,val_cand,next_month_live,next_month_challenger
must_improve_tol000,btts,2024-09,False,0.62866,0.63244,0.67411,0.67292
must_improve_tol002,btts,2024-09,False,0.62866,0.63244,0.67411,0.67292
v9_rule_6m_window,btts,2024-09,False,0.62204,0.63748,0.67411,0.67292
two_window_tol005,btts,2024-09,False,0.62866,0.63244,0.67411,0.67292
always_promote,btts,2024-10,True,0.65262,0.64246,0.66915,0.66915
never_promote,btts,2024-10,False,0.69311,0.64246,0.6946,0.66915
v9_current_tol005,btts,2024-10,True,0.65262,0.64246,0.66915,0.66915
not_worse_tol000,btts,2024-10,True,0.65611,0.64246,0.66915,0.66915
must_improve_tol000,btts,2024-10,True,0.65611,0.64246,0.66915,0.66915
must_improve_tol002,btts,2024-10,True,0.65611,0.64246,0.66915,0.66915
v9_rule_6m_window,btts,2024-10,False,0.63156,0.63887,0.67129,0.66915
two_window_tol005,btts,2024-10,False,0.65611,0.64246,0.67129,0.66915
always_promote,btts,2024-11,True,0.65448,0.62382,0.67376,0.67376
never_promote,btts,2024-11,False,0.69591,0.62382,0.7051,0.67376
v9_current_tol005,btts,2024-11,True,0.65448,0.62382,0.67376,0.67376
not_worse_tol000,btts,2024-11,True,0.65448,0.62382,0.67376,0.67376
must_improve_tol000,btts,2024-11,True,0.65448,0.62382,0.67376,0.67376
must_improve_tol002,btts,2024-11,True,0.65448,0.62382,0.67376,0.67376
v9_rule_6m_window,btts,2024-11,True,0.64274,0.61337,0.67376,0.67376
two_window_tol005,btts,2024-11,True,0.67193,0.62382,0.67376,0.67376
always_promote,btts,2024-12,True,0.63952,0.64924,0.67083,0.67083
never_promote,btts,2024-12,False,0.69716,0.64924,0.69719,0.67083
v9_current_tol005,btts,2024-12,False,0.63952,0.64924,0.67108,0.67083
not_worse_tol000,btts,2024-12,False,0.63952,0.64924,0.67108,0.67083
must_improve_tol000,btts,2024-12,False,0.63952,0.64924,0.67108,0.67083
must_improve_tol002,btts,2024-12,False,0.63952,0.64924,0.67108,0.67083
v9_rule_6m_window,btts,2024-12,False,0.62636,0.6441,0.67108,0.67083
two_window_tol005,btts,2024-12,False,0.63952,0.64924,0.67108,0.67083
always_promote,btts,2025-01,True,0.65524,0.643,0.67248,0.67248
never_promote,btts,2025-01,False,0.69893,0.643,0.68761,0.67248
v9_current_tol005,btts,2025-01,True,0.6538,0.643,0.67248,0.67248
not_worse_tol000,btts,2025-01,True,0.6538,0.643,0.67248,0.67248
must_improve_tol000,btts,2025-01,True,0.6538,0.643,0.67248,0.67248
must_improve_tol002,btts,2025-01,True,0.6538,0.643,0.67248,0.67248
v9_rule_6m_window,btts,2025-01,True,0.63681,0.63995,0.67248,0.67248
two_window_tol005,btts,2025-01,False,0.6538,0.643,0.67389,0.67248
always_promote,btts,2025-02,True,0.65229,0.65123,0.67312,0.67312
never_promote,btts,2025-02,False,0.69766,0.65123,0.69065,0.67312
v9_current_tol005,btts,2025-02,True,0.65229,0.65123,0.67312,0.67312
not_worse_tol000,btts,2025-02,True,0.65229,0.65123,0.67312,0.67312
must_improve_tol000,btts,2025-02,True,0.65229,0.65123,0.67312,0.67312
must_improve_tol002,btts,2025-02,False,0.65229,0.65123,0.67075,0.67312
v9_rule_6m_window,btts,2025-02,False,0.64622,0.65125,0.67075,0.67312
two_window_tol005,btts,2025-02,False,0.67291,0.65123,0.67182,0.67312
always_promote,btts,2025-03,True,0.65869,0.64561,0.67869,0.67869
never_promote,btts,2025-03,False,0.692,0.64561,0.69585,0.67869
v9_current_tol005,btts,2025-03,True,0.65869,0.64561,0.67869,0.67869
not_worse_tol000,btts,2025-03,True,0.65869,0.64561,0.67869,0.67869
must_improve_tol000,btts,2025-03,True,0.65869,0.64561,0.67869,0.67869
must_improve_tol002,btts,2025-03,True,0.66207,0.64561,0.67869,0.67869
v9_rule_6m_window,btts,2025-03,True,0.65091,0.64439,0.67869,0.67869
two_window_tol005,btts,2025-03,True,0.67215,0.64561,0.67869,0.67869
always_promote,btts,2025-04,True,0.65875,0.64555,0.67397,0.67397
never_promote,btts,2025-04,False,0.69193,0.64555,0.68872,0.67397
v9_current_tol005,btts,2025-04,True,0.65875,0.64555,0.67397,0.67397
not_worse_tol000,btts,2025-04,True,0.65875,0.64555,0.67397,0.67397
must_improve_tol000,btts,2025-04,True,0.65875,0.64555,0.67397,0.67397
must_improve_tol002,btts,2025-04,True,0.65875,0.64555,0.67397,0.67397
v9_rule_6m_window,btts,2025-04,True,0.65175,0.64396,0.67397,0.67397
two_window_tol005,btts,2025-04,True,0.65875,0.64555,0.67397,0.67397
always_promote,btts,2025-05,True,0.65692,0.65351,0.67377,0.67377
never_promote,btts,2025-05,False,0.69161,0.65351,0.69075,0.67377
v9_current_tol005,btts,2025-05,True,0.65692,0.65351,0.67377,0.67377
not_worse_tol000,btts,2025-05,True,0.65692,0.65351,0.67377,0.67377
must_improve_tol000,btts,2025-05,True,0.65692,0.65351,0.67377,0.67377
must_improve_tol002,btts,2025-05,True,0.65692,0.65351,0.67377,0.67377
v9_rule_6m_window,btts,2025-05,True,0.65079,0.65198,0.67377,0.67377
two_window_tol005,btts,2025-05,False,0.65692,0.65351,0.6762,0.67377
always_promote,btts,2025-06,True,0.66137,0.65286,0.67422,0.67422
never_promote,btts,2025-06,False,0.69164,0.65286,0.69218,0.67422
v9_current_tol005,btts,2025-06,True,0.66137,0.65286,0.67422,0.67422
not_worse_tol000,btts,2025-06,True,0.66137,0.65286,0.67422,0.67422
must_improve_tol000,btts,2025-06,True,0.66137,0.65286,0.67422,0.67422
must_improve_tol002,btts,2025-06,True,0.66137,0.65286,0.67422,0.67422
v9_rule_6m_window,btts,2025-06,True,0.65585,0.65019,0.67422,0.67422
two_window_tol005,btts,2025-06,True,0.66703,0.65286,0.67422,0.67422
