policy,target,month,n_test,live_log_loss,live_brier,challenger_log_loss,adopted
never_promote,btts,2025-07,449,0.68703,0.24687,0.66856,False
v9_current_tol005,btts,2025-07,449,0.66856,0.23806,0.66856,True
not_worse_tol000,btts,2025-07,449,0.66856,0.23806,0.66856,True
must_improve_tol000,btts,2025-07,449,0.66856,0.23806,0.66856,True
must_improve_tol002,btts,2025-07,449,0.66856,0.23806,0.66856,True
v9_rule_6m_window,btts,2025-07,449,0.66856,0.23806,0.66856,True
two_window_tol005,btts,2025-07,449,0.66856,0.23806,0.66856,True
always_promote,btts,2025-08,1350,0.6824,0.24481,0.6824,True
never_promote,btts,2025-08,1350,0.68456,0.24561,0.6824,False
v9_current_tol005,btts,2025-08,1350,0.6824,0.24481,0.6824,True
not_worse_tol000,btts,2025-08,1350,0.6824,0.24481,0.6824,True
must_improve_tol000,btts,2025-08,1350,0.6824,0.24481,0.6824,True
must_improve_tol002,btts,2025-08,1350,0.6824,0.24481,0.6824,True
v9_rule_6m_window,btts,2025-08,1350,0.6824,0.24481,0.6824,True
two_window_tol005,btts,2025-08,1350,0.6824,0.24481,0.6824,True
always_promote,btts,2025-09,1165,0.6793,0.24349,0.6793,True
never_promote,btts,2025-09,1165,0.68843,0.24762,0.6793,False
v9_current_tol005,btts,2025-09,1165,0.6793,0.24349,0.6793,True
not_worse_tol000,btts,2025-09,1165,0.6793,0.24349,0.6793,True
must_improve_tol000,btts,2025-09,1165,0.6793,0.24349,0.6793,True
must_improve_tol002,btts,2025-09,1165,0.6793,0.24349,0.6793,True
v9_rule_6m_window,btts,2025-09,1165,0.6793,0.24349,0.6793,True
two_window_tol005,btts,2025-09,1165,0.6793,0.24349,0.6793,True
always_promote,btts,2025-10,1154,0.6636,0.23591,0.6636,True
never_promote,btts,2025-10,1154,0.68277,0.24488,0.6636,False
v9_current_tol005,btts,2025-10,1154,0.6636,0.23591,0.6636,True
not_worse_tol000,btts,2025-10,1154,0.6636,0.23591,0.6636,True
must_improve_tol000,btts,2025-10,1154,0.6636,0.23591,0.6636,True
must_improve_tol002,btts,2025-10,1154,0.6636,0.23591,0.6636,True
v9_rule_6m_window,btts,2025-10,1154,0.6636,0.23591,0.6636,True
two_window_tol005,btts,2025-10,1154,0.6631,0.23562,0.6636,False
always_promote,btts,2025-11,1169,0.68326,0.24539,0.68326,True
never_promote,btts,2025-11,1169,0.70098,0.25377,0.68326,False
v9_current_tol005,btts,2025-11,1169,0.68326,0.24539,0.68326,True
not_worse_tol000,btts,2025-11,1169,0.68326,0.24539,0.68326,True
must_improve_tol000,btts,2025-11,1169,0.68326,0.24539,0.68326,True
